BinarySearch_1_llm.dfy;44
BubbleSort_10_llm.dfy;172
BubbleSort_1_llm.dfy;132
BubbleSort_2_llm.dfy;137
BubbleSort_3_llm.dfy;153
BubbleSort_4_llm.dfy;164
BubbleSort_5_llm.dfy;164
BubbleSort_6_llm.dfy;163
BubbleSort_7_llm.dfy;163
BubbleSort_8_llm.dfy;172
BubbleSort_9_llm.dfy;172
Catalan_1_llm.dfy;48
Catalan_2_llm.dfy;70
Catalan_3_llm.dfy;73
Catalan_4_llm.dfy;74
Catalan_5_llm.dfy;74
Catalan_6_llm.dfy;74
Catalan_7_llm.dfy;96
CombNK_1_llm.dfy;70
CountDistinct_1_llm.dfy;34
CountDistinct_2_llm.dfy;70
CountDistinct_3_llm.dfy;70
CountDistinct_4_llm.dfy;73
Div_1_llm.dfy;21
Factorial_1_llm.dfy;24
FastExponentiation_1_llm.dfy;74
FastExponentiation_2_llm.dfy;100
FastExponentiation_3_llm.dfy;119
FastExponentiation_4_llm.dfy;122
FastModularExponentiation_10_llm.dfy;236
FastModularExponentiation_1_llm.dfy;117
FastModularExponentiation_2_llm.dfy;140
FastModularExponentiation_3_llm.dfy;120
FastModularExponentiation_4_llm.dfy;122
FastModularExponentiation_5_llm.dfy;137
FastModularExponentiation_6_llm.dfy;200
FastModularExponentiation_7_llm.dfy;204
FastModularExponentiation_8_llm.dfy;223
FastModularExponentiation_9_llm.dfy;242
Fibonacci_1_llm.dfy;31
FindMax_1_llm.dfy;29
InsertionSort_1_llm.dfy;74
InsertionSort_2_llm.dfy;213
InsertionSort_3_llm.dfy;218
InsertionSort_4_llm.dfy;259
InsertionSort_5_llm.dfy;277
IntersectIntervals_1_llm.dfy;40
IntersectIntervals_2_llm.dfy;75
IntersectIntervals_3_llm.dfy;105
IntersectIntervals_4_llm.dfy;107
LinearSearch_1_llm.dfy;24
LinearSearch_2_llm.dfy;26
LinearSearch_3_llm.dfy;28
LinearSearch_4_llm.dfy;35
LinearSearch_5_llm.dfy;62
LinearSearch_6_llm.dfy;67
LinearSearch_7_llm.dfy;71
LinearSearch_8_llm.dfy;75
LongestPrefix_1_llm.dfy;21
LongestPrefix_2_llm.dfy;44
MakeBuckets_1_llm.dfy;63
MakeBuckets_2_llm.dfy;78
MakeBuckets_3_llm.dfy;89
MakeBuckets_4_llm.dfy;126
MakeBuckets_5_llm.dfy;153
MaxDistEqual_1_llm.dfy;50
MaxDistEqual_2_llm.dfy;119
